"Latitude","Longitude"
3.1174, 101.6781
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
3.106845, 101.72592
2.971814, 101.709432
2.953870, 101.709432
2.956880, 101.709432
2.959890, 101.709432
2.971814, 101.709432
2.953870, 101.709432
2.956880, 101.709432
2.959890, 101.709432
2.971814, 101.709432
2.953870, 101.709432
2.956880, 101.709432
2.959890, 101.709432
2.971814, 101.709432
2.953870, 101.709432
2.956880, 101.709432
2.959890, 101.709432
2.971814, 101.709432
2.953870, 101.709432
2.956880, 101.709432
2.959890, 101.709432
2.971814, 101.709432
2.953870, 101.709432
2.956880, 101.709432
2.959890, 101.709432
2.971814, 101.709432
2.953870, 101.709432
2.956880, 101.709432
2.959890, 101.709432
2.971814, 101.709432
2.953870, 101.709432
2.956880, 101.709432
2.959890, 101.709432
3.157499, 101.712172
3.157499, 101.712172
3.157499, 101.712172
3.157499, 101.712172
3.168374, 101.712172
3.157499, 101.712172
3.157499, 101.702483
3.157499, 101.712172
3.157499, 101.712172
3.157499, 101.712172
3.157499, 101.712172
3.157499, 101.712172
