"Latitude","Longitude"
3.1174, 101.6781
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.118819, 101.67783
3.072782, 101.580328
3.102782, 101.580328
2.956880, 101.580328
2.959890, 101.580328
3.072782, 101.580328
3.102782, 101.580328
2.956880, 101.580328
2.959890, 101.580328
3.072782, 101.580328
3.102782, 101.580328
2.956880, 101.580328
2.959890, 101.580328
3.072782, 101.580328
3.102782, 101.580328
2.956880, 101.580328
2.959890, 101.580328
3.072782, 101.580328
3.102782, 101.580328
2.956880, 101.580328
2.959890, 101.580328
3.072782, 101.580328
3.102782, 101.580328
2.956880, 101.580328
2.959890, 101.580328
3.072782, 101.580328
3.102782, 101.580328
2.956880, 101.580328
2.959890, 101.580328
3.072782, 101.580328
3.102782, 101.580328
2.956880, 101.580328
2.959890, 101.580328
3.068374, 101.602483
3.068374, 101.602483
3.068374, 101.602483
3.068374, 101.602483
3.168374, 101.602483
3.068374, 101.602483
3.068374, 101.702483
3.068374, 101.602483
3.068374, 101.602483
3.068374, 101.602483
3.068374, 101.602483
3.068374, 101.602483
2.9935, 101.7874
2.9935, 101.7874
2.9935, 101.7874
2.9935, 101.7874
2.9935, 101.7974
2.9935, 101.7974
2.9835, 101.7874
2.9835, 101.7874
2.7835, 101.6874
2.7835, 101.6874
2.9035, 101.7074
2.9035, 101.7074
2.9035, 101.7074
2.9535, 101.7074
2.9535, 101.70746
2.9335, 101.6574
2.9335, 101.6574
2.9335, 101.6574
2.9335, 101.6574
